questionname,questiontext,A,B,C,D,Answer 1,Answer 2,answernumbering,correctfeedback,partiallycorrectfeedback,incorrectfeedback,defaultmark
1C 患者の権利,インフォームド・コンセントはどれか。,患者を差別しないこと。,患者の優先順位を決定すること。,患者の治療歴を聴取すること。,患者に説明して同意を得ること。,D,,123,「患者に説明して同意を得ること。」が正しく、インフォームド・コンセントとは患者に十分な説明を行い同意を得ることである。「患者を差別しないこと。」は誤りで、患者を差別しないことは医療倫理の原則であるがインフォームド・コンセントではない。「患者の優先順位を決定すること。」は誤りで、患者の優先順位の決定はトリアージの概念。「患者の治療歴を聴取すること。」は誤りで、患者の治療歴の聴取は問診・医療面接。,,「患者に説明して同意を得ること。」が正しく、インフォームド・コンセントとは患者に十分な説明を行い同意を得ることである。「患者を差別しないこと。」は誤りで、患者を差別しないことは医療倫理の原則であるがインフォームド・コンセントではない。「患者の優先順位を決定すること。」は誤りで、患者の優先順位の決定はトリアージの概念。「患者の治療歴を聴取すること。」は誤りで、患者の治療歴の聴取は問診・医療面接。,1.0000000
1C 患者の権利,個人情報の保護に関する法律で個人情報取扱事業者になるのはどれか。,厚生労働省,東京都,接骨院,国立がん研究センター,C,,123,個人情報取扱事業者は民間の事業者が対象である。「厚生労働省」は誤りで、国の機関であり除外。「東京都」は誤りで、地方公共団体であり除外。「接骨院」は正しく、民間の事業者であり個人情報取扱事業者に該当する。「国立がん研究センター」は誤りで、国立研究開発法人であり除外。,,個人情報取扱事業者は民間の事業者が対象である。「厚生労働省」は誤りで、国の機関であり除外。「東京都」は誤りで、地方公共団体であり除外。「接骨院」は正しく、民間の事業者であり個人情報取扱事業者に該当する。「国立がん研究センター」は誤りで、国立研究開発法人であり除外。,1.0000000
1C 患者の権利,患者への病状・治療方針の説明で誤っているのはどれか。,患者が子供であっても同意を得る。,患者が理解できない説明は省く。,患者が質問する機会を作る。,患者の希望を尊重する。,B,,123,「患者が子供であっても同意を得る。」は小児であっても理解力に応じた説明と同意（インフォームド・アセント）を得るべきで正しい。「患者が理解できない説明は省く。」は患者が理解できないからといって説明を省くのは不適切。理解できるよう工夫して説明する義務がある。「患者が質問する機会を作る。」は患者が質問する機会を作ることは正しい。「患者の希望を尊重する。」は患者の希望を尊重することは正しい。,,「患者が子供であっても同意を得る。」は小児であっても理解力に応じた説明と同意（インフォームド・アセント）を得るべきで正しい。「患者が理解できない説明は省く。」は患者が理解できないからといって説明を省くのは不適切。理解できるよう工夫して説明する義務がある。「患者が質問する機会を作る。」は患者が質問する機会を作ることは正しい。「患者の希望を尊重する。」は患者の希望を尊重することは正しい。,1.0000000
1C 患者の権利,患者の権利で正しいのはどれか。,法令遵守,危機管理,秘密保持,利益供与,C,,123,「法令遵守」は法令遵守（コンプライアンス）は医療者の義務であり患者の権利ではない。「危機管理」は危機管理（リスクマネジメント）は組織の取り組みであり患者の権利ではない。「秘密保持」は正しく、秘密保持（プライバシーの保護）は患者の権利である。「利益供与」は誤りで、患者の権利ではない。,,「法令遵守」は法令遵守（コンプライアンス）は医療者の義務であり患者の権利ではない。「危機管理」は危機管理（リスクマネジメント）は組織の取り組みであり患者の権利ではない。「秘密保持」は正しく、秘密保持（プライバシーの保護）は患者の権利である。「利益供与」は誤りで、患者の権利ではない。,1.0000000
1C 患者の権利,個人情報の保護に関する法律で正しいのはどれか。,国の機関は個人情報取扱事業者となる。,生存する個人の情報が対象である。,要配慮個人情報から病歴は除かれる。,個人識別符号に電磁的方式で記録された文字は含まない。,B,,123,「国の機関は個人情報取扱事業者となる。」は誤りで、国の機関は個人情報取扱事業者にならない。「生存する個人の情報が対象である。」は正しく、個人情報保護法は生存する個人の情報を対象とする。死者の情報は対象外。「要配慮個人情報から病歴は除かれる。」は誤りで、要配慮個人情報には病歴が含まれる。「個人識別符号に電磁的方式で記録された文字は含まない。」は誤りで、個人識別符号には電磁的方式で記録された文字も含まれる。,,「国の機関は個人情報取扱事業者となる。」は誤りで、国の機関は個人情報取扱事業者にならない。「生存する個人の情報が対象である。」は正しく、個人情報保護法は生存する個人の情報を対象とする。死者の情報は対象外。「要配慮個人情報から病歴は除かれる。」は誤りで、要配慮個人情報には病歴が含まれる。「個人識別符号に電磁的方式で記録された文字は含まない。」は誤りで、個人識別符号には電磁的方式で記録された文字も含まれる。,1.0000000
1C 患者の権利,医療倫理の四原則で誤っているのはどれか。,患者の最大の利益のために行動する。,患者に危害を加えない。,医療資源を公平・公正に分配する。,医療者を中心とした医療を行う。,D,,123,医療倫理の四原則は、(1)善行（患者の最大の利益のために行動）、(2)無危害（患者に危害を加えない）、(3)正義（医療資源を公平・公正に分配）、(4)自律尊重（患者の自律的な意思決定を尊重）である。「医療者を中心とした医療を行う」はパターナリズム（父権主義）であり、医療倫理の四原則には含まれない。,,医療倫理の四原則は、(1)善行（患者の最大の利益のために行動）、(2)無危害（患者に危害を加えない）、(3)正義（医療資源を公平・公正に分配）、(4)自律尊重（患者の自律的な意思決定を尊重）である。「医療者を中心とした医療を行う」はパターナリズム（父権主義）であり、医療倫理の四原則には含まれない。,1.0000000
1C 患者の権利,施術者の態度で誤っているのはどれか。,理解的態度,支持的態度,評価的態度,共感的態度,C,,123,施術者の態度として望ましいのは、理解的態度、支持的態度、共感的態度である。「評価的態度」は誤りで、相手を評価・批判する態度であり、患者との信頼関係構築の妨げとなるため不適切。「理解的態度」は正しく、相手を理解しようとする態度。「支持的態度」は正しく、相手を支える態度。「共感的態度」は正しく、相手の気持ちに寄り添う態度。,,施術者の態度として望ましいのは、理解的態度、支持的態度、共感的態度である。「評価的態度」は誤りで、相手を評価・批判する態度であり、患者との信頼関係構築の妨げとなるため不適切。「理解的態度」は正しく、相手を理解しようとする態度。「支持的態度」は正しく、相手を支える態度。「共感的態度」は正しく、相手の気持ちに寄り添う態度。,1.0000000
1C 患者の権利,患者の権利（リスボン宣言）で規定されていないのはどれか。,健康教育を受ける権利がある。,情報に対する権利がある。,医療従事者と連携する権利がある。,宗教的支援を受ける権利がある。,C,,123,リスボン宣言（患者の権利に関するWMAリスボン宣言）では、良質の医療を受ける権利、選択の自由の権利、自己決定の権利、情報に対する権利、秘密保持に対する権利、健康教育を受ける権利、尊厳に対する権利、宗教的支援を受ける権利などが規定されている。「医療従事者と連携する権利」は規定されていない。,,リスボン宣言（患者の権利に関するWMAリスボン宣言）では、良質の医療を受ける権利、選択の自由の権利、自己決定の権利、情報に対する権利、秘密保持に対する権利、健康教育を受ける権利、尊厳に対する権利、宗教的支援を受ける権利などが規定されている。「医療従事者と連携する権利」は規定されていない。,1.0000000
1C 患者の権利,施術所の業務に関する情報開示で同意が必要でないのはどれか．,患者の名前,負傷日時,受傷部位,施術所スタッフの顔写真,D,,123,施術所の業務に関する情報開示では、患者の個人情報の開示には患者の同意が必要である。「施術所スタッフの顔写真」が正しく、施術所スタッフの顔写真は施術所側の情報であり患者の同意は不要。「患者の名前」は患者の個人情報であり同意が必要。「負傷日時」は患者の個人情報であり同意が必要。「受傷部位」は患者の個人情報であり同意が必要。,,施術所の業務に関する情報開示では、患者の個人情報の開示には患者の同意が必要である。「施術所スタッフの顔写真」が正しく、施術所スタッフの顔写真は施術所側の情報であり患者の同意は不要。「患者の名前」は患者の個人情報であり同意が必要。「負傷日時」は患者の個人情報であり同意が必要。「受傷部位」は患者の個人情報であり同意が必要。,1.0000000
1C 患者の権利,インフォームド・コンセントを説明しているのはどれか．,柔道整復師法,医師法,医療法,民法,C,,123,インフォームド・コンセントは「医療法」に規定されており正解である。医療法第1条の4第2項に「医師、歯科医師、薬剤師、看護師その他の医療の担い手は、医療を提供するに当たり、適切な説明を行い、医療を受ける者の理解を得るよう努めなければならない」と規定されている。「柔道整復師法」「医師法」「民法」にはインフォームド・コンセントを直接説明する規定はない。,,インフォームド・コンセントは「医療法」に規定されており正解である。医療法第1条の4第2項に「医師、歯科医師、薬剤師、看護師その他の医療の担い手は、医療を提供するに当たり、適切な説明を行い、医療を受ける者の理解を得るよう努めなければならない」と規定されている。「柔道整復師法」「医師法」「民法」にはインフォームド・コンセントを直接説明する規定はない。,1.0000000
1C 患者の権利,個人情報保護法の保護の対象とならないのはどれか。,死者の情報,氏名を含まない情報,コンピュータ処理されていない情報,暗号化された情報,A,,123,個人情報保護法の保護対象は「生存する個人に関する情報」である。「死者の情報」が正しく、死者の情報は個人情報保護法の保護の対象とならない。「氏名を含まない情報」は誤りで、氏名を含まなくても他の情報と照合して個人を識別できれば対象となる。「コンピュータ処理されていない情報」は誤りで、コンピュータ処理されていない情報も対象。「暗号化された情報」は誤りで、暗号化された情報も個人情報に該当する。,,個人情報保護法の保護対象は「生存する個人に関する情報」である。「死者の情報」が正しく、死者の情報は個人情報保護法の保護の対象とならない。「氏名を含まない情報」は誤りで、氏名を含まなくても他の情報と照合して個人を識別できれば対象となる。「コンピュータ処理されていない情報」は誤りで、コンピュータ処理されていない情報も対象。「暗号化された情報」は誤りで、暗号化された情報も個人情報に該当する。,1.0000000
2A リスクマネジメント,インシデント（ヒヤリハット）事例はどれか。,医療行為の結果で患者が死亡した。,医療行為の結果で患者の症状が悪化した。,医療従事者が自ら誤刺した。,患者に被害が予想されたが起こらなかった。,D,,123,インシデント（ヒヤリハット）とは、患者に被害が及ばなかったが、及ぶ可能性があった事例をいう。「医療行為の結果で患者が死亡した。」は誤りで、患者に実際の被害（死亡）が生じているため「医療事故」に該当する。「医療行為の結果で患者の症状が悪化した。」は誤りで、患者に実際の被害（症状悪化）が生じているため「医療事故」に該当する。「医療従事者が自ら誤刺した。」は誤りで、医療従事者に実際の被害が生じているため「医療事故」（職員の事故）に該当する。「患者に被害が予想されたが起こらなかった。」が正しく、被害が予想されたが実際には起こらなかった事例がインシデント（ヒヤリハット）である。,,インシデント（ヒヤリハット）とは、患者に被害が及ばなかったが、及ぶ可能性があった事例をいう。「医療行為の結果で患者が死亡した。」は誤りで、患者に実際の被害（死亡）が生じているため「医療事故」に該当する。「医療行為の結果で患者の症状が悪化した。」は誤りで、患者に実際の被害（症状悪化）が生じているため「医療事故」に該当する。「医療従事者が自ら誤刺した。」は誤りで、医療従事者に実際の被害が生じているため「医療事故」（職員の事故）に該当する。「患者に被害が予想されたが起こらなかった。」が正しく、被害が予想されたが実際には起こらなかった事例がインシデント（ヒヤリハット）である。,1.0000000
2B 医療事故と医療過誤,医療事故調査・支援センターの業務はどれか。,医療事故の再発防止に関する普及啓発を行う。,患者又は家族からの医療における苦情又は相談に応ずる。,住民に対し医療の安全確保に関する必要な情報の提供を行う。,病院等の管理者又は従業者に医療の安全に関する研修を実施する。,A,,123,医療事故調査・支援センターの業務は、(1)医療事故調査の報告により収集した情報の整理・分析、(2)医療事故調査の実施に関する相談への対応・必要な助言、(3)医療事故の再発防止に関する普及啓発、(4)医療事故調査に関する研修などである。「患者又は家族からの医療における苦情又は相談に...」・「住民に対し医療の安全確保に関する必要な情報の...」・「病院等の管理者又は従業者に医療の安全に関する...」は医療安全支援センターの業務。,,医療事故調査・支援センターの業務は、(1)医療事故調査の報告により収集した情報の整理・分析、(2)医療事故調査の実施に関する相談への対応・必要な助言、(3)医療事故の再発防止に関する普及啓発、(4)医療事故調査に関する研修などである。「患者又は家族からの医療における苦情又は相談に...」・「住民に対し医療の安全確保に関する必要な情報の...」・「病院等の管理者又は従業者に医療の安全に関する...」は医療安全支援センターの業務。,1.0000000
2A リスクマネジメント,人為的なインシデントでないのはどれか。,欠陥,錯覚,遵守,不足,C,,123,人為的なインシデントの原因は、(1)不足（知識・技能・経験の不足）、(2)不遵守（ルール・手順を守らない）、(3)不注意（注意を怠る）、(4)錯覚（誤認・勘違い）、(5)疲労（肉体的・精神的疲労）、(6)欠陥（能力・素養の欠如）に分類される。「遵守」はルールや手順を守ることであり、インシデントの原因ではなく予防行動である。,,人為的なインシデントの原因は、(1)不足（知識・技能・経験の不足）、(2)不遵守（ルール・手順を守らない）、(3)不注意（注意を怠る）、(4)錯覚（誤認・勘違い）、(5)疲労（肉体的・精神的疲労）、(6)欠陥（能力・素養の欠如）に分類される。「遵守」はルールや手順を守ることであり、インシデントの原因ではなく予防行動である。,1.0000000
2A リスクマネジメント,医療現場においてインシデントはどれか。,ヒヤリ・ハット,医療事故,医療過誤,医療過失,A,,123,インシデント（ヒヤリハット）とは、医療現場において患者に被害が及ばなかったが、及ぶ可能性があった事例をいう。医療事故は実際に被害が生じた場合、医療過誤は過失による被害、医療過失は注意義務違反をいう。,,インシデント（ヒヤリハット）とは、医療現場において患者に被害が及ばなかったが、及ぶ可能性があった事例をいう。医療事故は実際に被害が生じた場合、医療過誤は過失による被害、医療過失は注意義務違反をいう。,1.0000000
2A リスクマネジメント,医療におけるリスクマネジメントの概念で誤っているのはどれか。,医療事故の防止,危機管理,医療に対する苦情対応,利益の誘導,D,,123,医療におけるリスクマネジメントの概念には、医療事故の防止、危機管理、医療に対する苦情対応が含まれる。「利益の誘導」は医療リスクマネジメントの概念ではなく、むしろ倫理的に問題のある行為である。,,医療におけるリスクマネジメントの概念には、医療事故の防止、危機管理、医療に対する苦情対応が含まれる。「利益の誘導」は医療リスクマネジメントの概念ではなく、むしろ倫理的に問題のある行為である。,1.0000000
2B 医療事故と医療過誤,医療事故調査制度で医療事故の報告先はどれか。,厚生労働大臣,都道府県知事,医療安全支援センター,医療事故調査・支援センター,D,,123,医療事故調査制度では、医療事故が発生した場合、病院等の管理者は医療事故調査・支援センター（一般社団法人日本医療安全調査機構）に報告しなければならない。厚生労働大臣や都道府県知事ではない。,,医療事故調査制度では、医療事故が発生した場合、病院等の管理者は医療事故調査・支援センター（一般社団法人日本医療安全調査機構）に報告しなければならない。厚生労働大臣や都道府県知事ではない。,1.0000000
2B 医療事故と医療過誤,医療訴訟で誤っているのはどれか。,医療従事者の過失を問う。,刑事・民事及び行政責任を問う。,医療現場のヒヤリハットを問う。,医療経営者の使用者責任を問う。,C,,123,医療訴訟では、「医療従事者の過失を問う。」は正しく、医療従事者の過失を問う。「刑事・民事及び行政責任を問う。」は正しく、刑事責任（業務上過失致死傷等）、民事責任（損害賠償）、行政責任（免許取消・業務停止等）を問う。「医療現場のヒヤリハットを問う。」は誤りで、ヒヤリハットは患者に被害が及ばなかった事例であり、訴訟の対象とはならない。「医療経営者の使用者責任を問う。」は正しく、使用者責任（民法第715条）により医療経営者の責任も問われる。,,医療訴訟では、「医療従事者の過失を問う。」は正しく、医療従事者の過失を問う。「刑事・民事及び行政責任を問う。」は正しく、刑事責任（業務上過失致死傷等）、民事責任（損害賠償）、行政責任（免許取消・業務停止等）を問う。「医療現場のヒヤリハットを問う。」は誤りで、ヒヤリハットは患者に被害が及ばなかった事例であり、訴訟の対象とはならない。「医療経営者の使用者責任を問う。」は正しく、使用者責任（民法第715条）により医療経営者の責任も問われる。,1.0000000
2B 医療事故と医療過誤,医療過誤で誤っているのはどれか。,患者の過失が原因となる。,行為者に対して損害賠償請求ができる。,使用者に対して損害賠償請求ができる。,事故の内容によっては刑事責任が問われる。,A,,123,医療過誤とは、医療従事者の過失（注意義務違反）によって患者に被害が生じることをいう。「患者の過失が原因となる。」は誤りで、医療過誤は医療従事者側の過失が原因であり、患者の過失が原因ではない。「行為者に対して損害賠償請求ができる。」は正しく、行為者（医療従事者）に対して損害賠償請求が可能である。「使用者に対して損害賠償請求ができる。」は正しく、使用者責任（民法第715条）により使用者に対しても損害賠償請求が可能である。「事故の内容によっては刑事責任が問われる。」は正しく、事故の内容によっては業務上過失致死傷罪等の刑事責任が問われる。,,医療過誤とは、医療従事者の過失（注意義務違反）によって患者に被害が生じることをいう。「患者の過失が原因となる。」は誤りで、医療過誤は医療従事者側の過失が原因であり、患者の過失が原因ではない。「行為者に対して損害賠償請求ができる。」は正しく、行為者（医療従事者）に対して損害賠償請求が可能である。「使用者に対して損害賠償請求ができる。」は正しく、使用者責任（民法第715条）により使用者に対しても損害賠償請求が可能である。「事故の内容によっては刑事責任が問われる。」は正しく、事故の内容によっては業務上過失致死傷罪等の刑事責任が問われる。,1.0000000
2A リスクマネジメント,インシデントはどれか．,患者が医療施設内で転倒し負傷した．,医療的準則に従わず患者に被害が生じた．,医療行為によって不測の事態が予想された．,医療行為によって医療従事者に被害が生じた．,C,,123,「患者が医療施設内で転倒し負傷した．」は患者が施設内で転倒し負傷したのは「医療事故」。「医療的準則に従わず患者に被害が生じた．」は医療的準則に従わず被害が生じたのは「医療過誤」。「医療行為によって不測の事態が予想された．」は医療行為によって不測の事態が予想された（被害に至らなかった）のが「インシデント」。「医療行為によって医療従事者に被害が生じた．」は医療従事者に被害が生じたのは「医療事故」（職員の事故）。,,「患者が医療施設内で転倒し負傷した．」は患者が施設内で転倒し負傷したのは「医療事故」。「医療的準則に従わず患者に被害が生じた．」は医療的準則に従わず被害が生じたのは「医療過誤」。「医療行為によって不測の事態が予想された．」は医療行為によって不測の事態が予想された（被害に至らなかった）のが「インシデント」。「医療行為によって医療従事者に被害が生じた．」は医療従事者に被害が生じたのは「医療事故」（職員の事故）。,1.0000000
